@relation camel-0-train3

@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute buggy_RA numeric

@data
4,7,10,2.55216,213,179,115.9,0,2,0.75,2.1,65,64.62,82,-1
2,5,12,3.29139,498,84,54.25,0,4,0.51,2.42,71,70.58,55,1
2,3,3,1.40069,75,17,152.67,0,2,0.02,3.67,72,71.58,57,-1
1,1,1,0,2,1,284,0,2,0,11,73,72.58,52,-1
1,1,2,0.970951,3,2,89,0,2,4.1,12,76,75.03,54,-1
1,1,1,0,0,27,133,0,1,3.11,4,79,78.01,56,-1
1,1,2,0.696212,10,6,79.5,0,2,0,3.5,81,79.84,11,-1
1,1,1,0,3,3,99,0,3,0.92,7,82,80.82,12,-1
1,1,1,0,103,0,0,0,0,0,0,83,81.8,58,1
3,6,17,3.11415,806,162,122.88,0,3,1.28,1.82,86,84.79,75,-1
0,0,0,0,0,0,0,0,0,0,0,42,41.34,0,-1
1,2,5,1.65276,32,10,87.8,0,1,2.2,1,90,88.76,8,-1
1,2,7,2.45375,131,143,89.29,0,3,1.73,2.14,44,43.32,25,-1
2,4,10,1.43422,596,88,125.3,0,3,2.36,4.4,91,89.52,46,-1
2,14,29,3.73935,1664,63,53.41,0,2,1.79,1.21,94,92.3,65,1
1,4,6,1.83079,99,4,80.5,0,3,4.37,4,97,95.28,64,-1
1,4,7,2.15557,111,35,104,0,1,0.97,0.86,99,97.21,66,1
1,3,6,2.18164,332,43,54.33,0,1,1.58,0.67,100,98.21,7,1
1,1,3,1.06716,83,4,69.33,0,1,0.8,1.33,101,99.2,8,1
1,2,8,2.7479,111,88,97.25,0,1,0.73,0.63,102,100.09,9,-1
1,1,1,0,1,0,33,0,1,0.75,3,103,101.09,67,-1
1,1,1,0,26,9,108,0,1,0.03,2,107,105.08,11,-1
1,1,1,0,9,9,125,0,1,0,3,108,106.08,12,-1
1,1,4,1.9656,9,6,68.25,0,1,0.8,0.75,110,107.99,69,-1
2,5,7,2.43298,249,3,89.29,0,2,2.5,2.86,112,109.2,76,-1
10,21,34,4.1623,365,189,113.26,0,4,5.11,2.32,115,111.89,168,1
1,1,1,0,31,6,158,0,1,0.02,2,116,112.89,2,-1
6,19,29,3.89136,358,520,81.1,0,4,3.23,2.17,124,120.55,163,1
5,20,54,4.25289,151,593,68.41,0,4,3.41,1.11,125,121.53,113,-1
1,1,1,0,2,0,317,0,2,0.01,20,126,122.53,79,-1
1,1,1,0,7,8,117,0,1,8.06,1,130,126.52,16,-1
2,3,5,1.8472,19,20,142.4,0,2,0.7,4.8,50,48.33,28,-1
2,3,4,1.32249,91,3,102.25,0,2,0.06,7,131,127.5,91,-1
1,3,4,1.2535,446,0,0,0,0,0,0,132,128.17,0,1
1,5,5,0.831323,594,24,104,0,2,1.61,4,133,129.16,83,1
1,1,1,0,3,3,528,0,1,0,1,134,130.16,84,1
1,3,11,3.07413,571,93,21.18,0,1,0.2,0.55,139,135.16,18,-1
1,1,1,0,0,521,521,0,1,7.11,1,141,137.16,85,-1
1,3,4,1.91461,357,0,0,0,0,0,0,144,136.35,0,-1
1,1,1,0,39,2,140,0,1,0.15,6,146,138.3,20,-1
1,1,1,0,1,1,294,0,1,1.12,4,148,139.95,22,-1
1,1,1,0,1,0,512,0,3,0.01,25,150,141.89,19,-1
1,1,1,0,1,0,132,0,2,0.61,2,152,143.65,11,-1
3,4,5,1.77033,26,9,210.2,0,3,1.17,5.8,154,145.55,26,-1
1,4,13,3.31401,563,84,68.46,0,2,8.31,3.15,156,147.48,89,-1
1,2,2,0.658191,117,24,12,0,1,0.02,0.5,157,148.46,90,-1
1,7,17,2.35029,702,20,42.35,0,2,4.19,1.06,162,153.19,13,1
1,1,1,0,0,8,506,0,3,0.97,28,164,155.16,22,-1
1,3,3,0.394684,93,3,133.67,0,2,5.04,12.33,54,50.41,31,-1
1,2,2,0.954434,10,14,81,0,2,15.2,9.5,57,53.37,34,-1
2,4,5,1.6498,45,39,125.4,0,2,9.25,8.4,59,55.37,48,1
1,1,2,1,4,0,82,0,1,0.02,1,174,164.77,101,-1
1,2,2,0.726963,79,0,30.5,0,1,0.01,1,176,166.76,103,-1
1,3,3,0.957166,90,2,170.67,0,2,7.98,5.67,177,167.75,104,-1
0,0,0,0,0,0,0,0,0,0,0,65,61.25,0,-1
1,2,7,2.66422,600,0,0,0,0,0,0,12,11.04,0,1
1,1,1,0,0,27,94,0,1,0.58,1,183,172.04,0,-1
2,3,4,1.53064,14,2,250,0,3,5.33,8.25,186,175.02,31,-1
1,3,6,2.22288,289,87,127.33,0,2,10.67,3.83,187,175.99,110,1
1,2,5,1.99393,275,12,162,0,2,1.63,8.8,189,177.93,111,-1
1,1,1,0,5,0,208,0,2,0.03,12,191,179.89,113,-1
2,6,19,3.56576,153,108,91.32,0,4,20.04,4.79,194,182.53,141,-1
1,1,1,0,7,1,533,0,3,0.03,33,195,183.52,26,-1
1,1,6,2.45915,9,15,69,0,2,26.47,5.17,199,186.55,44,-1
1,5,20,3.82169,1117,0,0,0,0,0,0,201,188.48,0,1
1,5,6,2.54822,179,40,66,0,2,4.63,2.67,204,190.14,20,1
1,1,2,0.650022,13,5,76.5,0,2,3.46,1.5,16,14.84,3,-1
1,4,7,1.88081,144,6,67.57,0,1,2.53,0.14,208,194.05,1,-1
1,1,6,2.44071,493,0,0,0,0,0,0,17,15.81,8,-1
1,4,9,2.8987,0,651,72.33,0,3,2.25,0.89,214,199.66,3,-1
2,3,4,1.65166,11,12,255.75,0,3,6.15,9.25,215,200.66,36,-1
1,3,3,0.468248,59,2,28,0,1,0.24,0.67,218,203.62,4,-1
1,1,1,0,6,22,253,0,1,0,2,224,209.56,129,1
1,1,1,0,1,1,25,0,1,0,1,72,66.49,1,-1
1,1,2,0.991319,146,0,0,0,0,0,0,75,69.48,19,-1
1,2,2,0.952266,42,1,99,0,2,0.04,8.5,229,214.47,133,-1
1,1,1,0,0,104,104,0,1,0.17,1,230,215.45,1,-1
1,1,1,0,36,7,119,0,2,0.6,12,27,25.75,3,-1
1,1,1,0,46,24,63,0,2,0.71,3,28,26.74,2,-1
1,6,10,2.75573,34,25,126.8,0,3,2.48,6.1,234,218.98,134,-1
2,13,26,3.8084,628,550,133.96,0,2,6.65,4.27,239,223.48,165,1
2,5,9,2.59313,200,32,86.67,0,3,3.12,3.78,243,226.96,171,1
2,7,10,3.19851,362,34,94.6,0,2,2.11,2.5,245,228.88,40,1
1,1,1,0,4,0,552,0,3,2.89,39,248,231.84,31,-1
2,2,2,0.991992,38,0,332.5,0,3,0.08,22,249,232.8,66,-1
1,1,2,0.999526,78,0,0,0,0,0,0,251,234.79,143,-1
2,3,4,1.53064,14,2,268.25,0,3,10.31,12,266,243.29,46,-1
2,2,2,0.983939,94,0,0,0,0,0,0,276,251.93,2,-1
1,1,1,0,40,0,0,0,0,0,0,279,254.93,1,-1
1,4,4,1.95915,8,4,107.5,0,2,0.99,4.75,283,258.3,3,-1
1,3,4,1.68795,156,48,82.5,0,2,2.97,1.25,286,259.37,4,1
1,1,1,0,4,1,90,0,1,0.14,1,288,260.8,6,-1
4,11,20,3.35063,837,10,67.85,0,3,5.21,3.3,294,266.05,220,1
1,2,2,0.822404,32,3,102,0,1,0.03,0.5,295,267.03,11,-1
2,12,19,3.64378,680,98,129.58,0,3,12.53,6.32,300,270.7,173,1
1,1,1,0,2,0,61,0,1,0.03,1,301,271.68,160,-1
1,4,5,1.62813,29,5,130.6,1,2,26.65,3,303,267.24,162,-1
1,3,5,1.79368,106,8,212.8,0,2,14.23,10.6,304,266.42,163,1
2,3,3,0.524686,152,104,325.33,0,2,26.86,3.33,306,268.35,180,1
1,3,4,1.82444,54,3,191.5,0,2,22.99,16.25,308,270.02,165,-1
2,7,17,3.19639,35,118,113.82,0,2,25.17,1.35,310,269.49,185,-1
1,1,5,1.70372,340,0,0,0,0,0,0,82,69.18,8,-1
4,21,42,4.68464,4494,0,0,0,0,0,0,84,71.17,51,-1
1,1,1,0,8,5,683,0,3,0.89,56,85,72.16,9,-1
3,3,5,1.4841,428,18,15.4,0,2,5.21,0.8,86,73.15,54,-1
4,16,28,4.32553,2144,2145,121.29,0,2,34.14,1.14,87,74.14,57,-1
1,1,1,0,2,1,686,0,3,0.68,57,313,271.48,46,-1
2,5,6,2.48209,89,0,28.83,0,2,43.18,1.5,317,275.34,192,-1
1,2,3,0.773228,52,26,176.33,0,1,8.07,5,90,76.78,0,-1
2,6,8,2.0437,1520,0,0,0,0,0,0,0,0,0,-1
1,8,9,2.95957,285,1,4,0,1,0.45,0.11,328,282.22,4,-1
1,1,1,0,16,0,572,0,1,4.76,1,2,1.98,1,-1
1,1,1,0,71,9,323,0,1,2.25,2,3,2.98,2,-1
1,1,1,0,8,8,139,0,1,7.17,1,330,282.39,0,-1
1,4,9,2.25217,151,71,59.22,0,2,32.99,1.44,331,283.23,29,1
1,1,1,0,7,7,65,0,1,36.09,4,332,284.22,30,-1
1,2,2,0.881291,7,3,86.5,0,2,2.7,2,333,283.42,31,1
1,1,1,0,1,1,30,0,1,5.7,2,340,289.81,8,-1
1,1,1,0,1,1,402,0,2,0.26,6,8,7.91,6,-1
1,1,1,0,29,17,616,0,2,1.04,5,9,8.9,7,-1
1,2,2,0.721928,8,2,279.5,0,2,0.72,5,10,9.89,8,-1
1,1,1,0,6,0,109,0,3,0.01,11,346,294.85,41,-1
1,2,2,0.151469,11,631,518,0,2,1.54,6,12,11.85,10,-1
1,1,1,0,2,0,756,0,3,2.85,64,347,295.22,53,-1
1,1,2,1,21,5,137,0,4,0.94,7.5,348,296.2,42,-1
1,5,5,2.1986,224,0,0,0,0,0,0,349,297.18,9,-1
1,5,9,1.9867,281,6,49.67,0,4,0.26,2,353,300.55,44,-1
1,1,1,0,1,1,31,0,1,0,1,356,303.44,176,-1
2,3,3,0.214513,77,64,164.67,0,3,8.82,7.67,358,303.53,224,-1
1,1,1,0,9,9,193,0,3,6.25,13,363,308.36,181,1
1,2,2,0.043472,631,1,78.5,0,2,3.07,3.5,14,13.69,12,-1
1,1,1,0,2,2,59,0,1,0.01,2,366,310.68,184,-1
1,5,6,1.6396,86,8,197.83,0,2,15.46,10.17,367,311.59,185,-1
1,2,2,0.976021,17,5,227.5,0,2,13.04,5,17,16.6,15,-1
2,2,2,0.591673,9,12,476,0,3,24.52,35.5,95,78.03,19,-1
1,1,2,0.497836,247,0,0,0,0,0,0,378,319.25,191,1
1,7,8,2.44342,240,6,41.25,0,2,6.97,1.88,379,319.5,59,1
1,3,3,1.58211,38,1,113.67,0,2,1.64,5.33,381,321.44,60,-1
1,1,1,0,5,1,93,0,1,6.76,1,382,322.4,193,1
3,22,41,4.42318,292,234,71.8,0,3,13.62,2.46,383,323.38,267,-1
3,8,16,3.66277,605,22,75.5,0,3,0.5,5.13,386,325.57,318,-1
1,4,15,3.4942,383,20,24.27,0,1,0.05,0.07,387,326.49,65,-1
1,2,8,2.90431,287,0,0.38,0,1,0,0.13,391,330.44,69,-1
2,7,16,3.3339,414,8,32.19,0,2,0.35,1.19,393,332.4,268,-1
2,5,15,3.41976,420,28,41,0,2,0.03,1.27,395,334.37,271,-1
1,4,4,1.77326,149,15,36,0,2,27.21,1,405,334.34,205,1
2,3,4,1.64928,52,25,36,0,1,14.29,1.5,406,335.33,288,1
2,2,2,0.650022,13,5,277,0,2,16.17,22,407,336.29,290,-1
2,5,5,1.93638,31,22,129,0,2,12.48,7,408,336.5,292,-1
2,7,9,2.50613,185,3,126.67,0,2,3.33,8.78,411,338.85,297,-1
1,1,1,0,0,2,159,0,2,14.53,10,413,340.84,88,-1
2,10,15,3.47231,139,44,91.53,0,3,21.69,4.07,415,342.72,302,1
1,1,1,0,1,1,82,0,1,0,8,420,347.15,95,-1
2,8,16,3.30693,123,93,112.63,0,2,35.1,4.13,421,348.03,311,-1
1,1,1,0,9,2,260,0,1,24.28,4,423,349.87,97,-1
2,6,7,2.62393,240,20,72.71,0,2,24.82,3.14,424,350.87,314,1
2,7,9,2.93533,18,18,141.22,0,2,49.63,7.11,427,353.39,318,1
1,1,5,1.50786,11,21,66.8,0,1,0.07,0.2,430,356.34,15,-1
1,1,1,0,0,6,59,0,1,0.08,1,431,357.33,16,-1
1,1,1,0,68,7,73,0,1,0.92,1,433,359.13,101,1
2,4,6,2.34429,207,48,32.83,0,2,8.01,2.5,434,360.12,322,1
1,1,2,0.863121,47,16,208,0,2,64.03,9.5,435,361.12,103,-1
1,1,1,0,4,0,84,0,1,15.3,1,438,364.05,104,-1
4,7,8,2.23776,52,15,198.88,0,4,9.95,11.88,439,365.05,407,-1
2,6,49,4.00705,286,1347,105.18,0,2,52.13,2.2,440,365.6,329,-1
1,8,8,2.40084,353,0,4.88,0,2,0.2,0.75,442,367.05,19,-1
2,10,21,2.5225,780,515,140.24,0,2,17.15,4.57,447,370.64,336,1
2,5,23,3.57226,34,1502,115,0,2,16.02,3.13,449,372.59,339,-1
2,16,27,4.2734,929,111,52.07,0,3,9.4,1.15,453,374.71,345,1
2,11,15,3.32471,27,34,94.2,0,3,35.14,5.27,458,378.39,354,-1
1,1,1,0,0,25,25,0,1,1.57,1,459,379.36,118,-1
2,16,35,4.41285,579,286,103.89,0,2,6.28,2.11,461,381.03,358,1
1,1,3,1.57328,277,0,0,0,0,0,0,462,382.03,121,-1
1,4,7,2.62906,348,0,0,0,0,0,0,463,383.02,122,1
2,7,9,2.65892,257,4,89.33,0,1,20.11,0.44,466,383.73,364,-1
1,2,2,0.970951,8,2,73,0,1,0.15,0.5,468,385.59,124,-1
1,2,2,0.900485,56,23,39,0,1,0.09,1,470,387.43,125,1
0,0,0,0,0,0,0,0,0,0,0,98,75.5,0,-1
1,3,5,1.80735,14,14,102.8,0,2,2.99,3.6,99,76.49,11,-1
1,1,1,0,1,0,48,0,2,4.03,8,475,391.84,247,-1
2,15,24,3.87533,420,300,63.71,0,2,0.48,0.63,480,396.76,377,1
1,3,3,0.47029,201,120,233.33,0,3,0.01,3.67,488,404.52,253,-1
2,4,11,2.72718,954,0,80.18,0,3,0.01,7.36,106,83.3,15,-1
1,1,1,0,15,12,32,0,1,131.25,4,109,86.29,59,-1
1,2,2,0.704577,45,2,25.5,0,3,0.36,1.5,490,405.86,254,-1
1,1,1,0,1,1,35,0,2,0.67,5,492,407.73,255,-1
2,9,14,3.31594,362,106,87.43,0,2,15.33,1.21,493,408.73,155,1
3,4,5,1.77095,1,9,136.2,0,2,7.61,5.6,497,412.66,167,-1
1,1,1,0,3,21,91,0,3,33.9,8,509,423.8,24,-1
1,5,15,2.95714,343,20,131.6,0,2,0.8,4.27,512,426.65,263,1
1,1,2,0.866726,42,10,165.5,0,3,1.97,6,513,427.64,264,-1
1,1,1,0,13,1,132,0,2,1.85,4,515,429.64,140,-1
1,1,2,0.997503,33,1,7,0,1,2.48,0.5,111,87.92,15,-1
1,2,2,0.734956,0,121,60.5,0,2,17.89,2.5,518,431.92,142,-1
1,4,5,1.84694,177,6,48.8,1,3,0.01,3.4,520,433.86,144,1
1,2,1,0,0,0,18,0,1,58.01,3,522,435.83,146,-1
1,1,1,0,28,1,40,0,2,12.71,7,523,436.72,28,-1
1,1,2,0.991076,13,5,73,0,2,0.02,2.5,528,441.65,151,-1
1,1,1,0,5,0,282,0,2,2.81,28,532,442.84,153,-1
1,1,1,0,12,1,287,0,2,0.01,29,533,443.83,154,-1
3,7,14,3.09968,1498,0,0,0,0,0,0,115,91.18,31,-1
0,0,0,0,0,0,0,0,0,0,0,116,92.18,0,-1
1,2,2,0.721928,2,8,51,0,2,4.63,2.5,535,445.57,29,-1
1,1,1,0,2,3,58,0,2,0,5,536,446.57,30,-1
1,1,1,0,1,1,57,0,2,0,6,537,447.57,31,-1
2,4,5,1.49256,358,2,202,0,3,1.21,16.8,119,94.76,34,-1
1,2,2,0.904381,95,55,116.5,0,1,0.02,0.5,120,95.75,19,-1
2,5,8,2.81803,15,9,143.63,0,2,1.95,7.88,548,456.56,437,1
1,1,1,0,6,0,124,0,2,21.34,19,122,97.7,21,-1
1,2,2,0.214777,204,1,24,0,3,4.68,2.5,123,98.61,10,-1
1,1,1,0,1,1,773,0,3,0.05,7,553,460.86,22,-1
1,1,1,0,1,1,182,0,3,0.09,12,557,464.78,24,-1
1,2,4,1.04552,257,6,311.75,0,3,0.18,2.75,560,467.59,26,1
1,1,1,0,0,35,298,0,2,3.13,30,562,469.54,161,-1
1,1,1,0,12,1,219,0,2,0.01,4,564,471.5,29,-1
1,1,1,0,39,32,308,0,3,0.13,8,565,472.48,282,-1
1,2,2,0.558629,83,9,137,0,3,0.03,5.5,128,103.52,15,-1
1,1,1,0,3,1,315,0,3,0.01,9,567,474.47,283,-1
1,1,1,0,1,1,292,0,2,0.01,6,129,104.52,16,-1
1,1,1,0,2,1,41,0,3,0.16,7,571,478.36,30,-1
1,1,1,0,4,5,126,0,2,38.91,4,578,484.81,166,-1
1,3,11,3.19964,376,16,45.45,0,2,1.17,1.18,585,490.59,294,-1
1,1,1,0,28,9,80,0,2,11.49,2,589,493.53,297,-1
2,5,14,3.69453,558,126,27.64,0,2,2.48,0.71,593,497.13,473,1
1,1,1,0,129,0,0,0,0,0,0,594,497.37,174,1
4,9,17,3.44238,553,7,136.29,0,3,5.05,7.53,597,500.22,568,1
1,4,4,1.89106,6,3,44.5,1,2,72.72,3,601,503.8,177,-1
1,1,1,0,25,9,600,0,2,0.4,3,132,106.12,18,-1
1,1,1,0,0,0,0,0,0,0,0,133,107.11,19,-1
1,1,1,0,1,1,1015,0,3,2.26,86,134,108.11,17,-1
1,2,2,0.13403,60,47,103.5,0,2,15.68,4.5,603,502.5,178,1
1,1,1,0,169,141,1032,0,3,0.92,88,605,503.59,71,-1
2,2,2,0.515947,77,1,53.5,0,2,7.83,5,606,504.59,487,-1
1,1,1,0,17,15,77,0,2,17.53,13,610,507.47,309,-1
2,2,2,0.721928,4,16,595,0,3,1.5,45,611,508.36,75,-1
3,4,4,1.27477,19,74,95.25,0,2,13.85,6.5,613,508.1,496,1
1,1,3,1.46788,78,67,96.67,0,2,20.71,3.67,616,509.75,313,1
1,8,16,3.53274,598,44,96.94,0,3,10.42,5.81,136,108.63,62,1
1,10,14,2.54291,401,51,48.29,0,2,14.69,2.57,137,109.61,23,1
1,3,5,1.87677,206,10,80.2,0,3,0.26,5.8,621,513.75,316,-1
3,5,5,1.85279,64,10,344.4,0,3,5.95,21.4,141,113.14,109,1
1,2,3,1.51759,325,0,0,0,0,0,0,142,113.89,27,1
1,1,1,0,2,1,107,0,2,0.19,16,630,519.94,193,-1
1,1,1,0,6,0,76,0,2,7.33,7,632,518.41,319,-1
1,4,4,1.51505,170,0,10,0,2,14.91,0.5,636,521.58,5,-1
1,2,4,1.5413,132,3,11.5,0,1,0,0.25,637,522.57,6,-1
4,12,21,3.3386,241,85,170.52,0,4,10.84,9.14,639,524.47,616,1
1,2,2,0.503258,9,9,216.5,0,3,0,15.5,640,525.47,325,-1
1,3,4,1.95071,50,0,268,0,3,0.19,13.25,4,3.37,2,-1
1,2,2,0.970504,263,0,80,0,2,9.47,5,643,528.2,328,-1
2,8,9,2.69484,105,46,155.89,0,4,11.57,8.78,644,529.11,526,-1
1,2,2,0.952743,101,9,141.5,0,2,0.07,9,143,113.81,65,-1
2,24,40,4.66721,294,181,137.78,0,3,13.34,3.95,645,529.35,528,1
2,3,4,1.27863,81,28,312.5,0,2,18.56,17.5,649,532.1,533,1
3,14,37,4.081,204,71,123.49,0,4,24.25,2.73,650,532.82,569,-1
1,1,1,0,9,0,51,0,1,8.46,1,145,115.3,28,-1
1,1,1,0,6,1,19,0,1,85.44,1,652,534.17,37,-1
4,14,19,3.58378,771,76,102.26,0,3,7.12,4.84,653,534.68,612,1
1,6,8,2.45994,516,0,0,0,0,0,0,655,536.36,203,-1
2,3,4,1.61433,24,2,423.25,0,3,1.79,26,656,537.35,99,-1
2,8,14,3.35421,840,0,15,0,2,0.23,1.64,657,538.35,542,-1
1,1,1,0,1,1,82,0,1,0.4,1,658,538.86,205,-1
3,8,10,2.58115,627,6,62.6,0,2,2.65,3.9,659,539.77,399,1
1,2,4,1.53293,89,25,271.75,0,3,13.18,11.75,660,537.2,206,-1
1,1,2,1,6,0,62,0,2,35.3,1.5,663,539.01,208,-1
1,1,1,0,0,2,96,0,2,26.82,5,667,542.75,37,-1
1,1,1,0,22,0,1074,0,3,4.68,98,6,5.29,1,-1
1,1,1,0,1,1,69,0,3,0.06,20,676,549.2,217,-1
1,1,1,0,4,0,68,0,2,37.7,2,677,550.19,346,-1
1,3,6,1.69514,302,223,129.33,0,1,17.57,0.83,686,555.34,348,1
1,1,1,0,1,1,183,0,1,2.38,5,8,7.21,0,-1
1,1,1,0,8,0,194,0,3,0.09,16,9,8.21,4,-1
1,1,1,0,1,1,188,0,3,0.07,16,148,115.52,67,-1
1,1,1,0,2,9,265,0,1,5.38,1,150,117.52,32,-1
1,6,9,2.68339,770,61,216.67,0,4,4.25,6.33,153,120.29,68,1
1,1,1,0,38,19,147,0,1,0.35,2,694,560.58,351,-1
1,1,1,0,2,2,1142,0,3,0.03,106,154,120.95,23,-1
1,2,7,2.49084,357,18,31,0,2,11.86,2.57,695,560.93,226,1
1,1,1,0,8,1,266,0,3,0.54,27,14,13.13,3,1
1,1,1,0,17,0,21,0,1,0,1,17,16.12,6,-1
1,1,1,0,4,0,109,0,1,0.1,1,18,17.12,7,-1
1,2,2,0.650022,19,5,214.5,0,4,5.87,22,158,124.73,35,-1
1,1,1,0,2,2,57,0,2,43.49,8,19,17.86,0,1
2,2,2,0.996792,6,9,712.5,0,3,6.49,57,697,555.12,308,-1
1,1,1,0,1,2,520,0,3,7.94,19,698,556.1,353,-1
1,1,1,0,32,1,91,0,2,49.76,3,700,558.08,354,-1
1,2,2,0.934068,14,6,144,0,2,24.95,3,701,558.99,355,-1
1,2,2,0.976021,15,7,244.5,0,2,37.27,16.5,702,557.84,356,-1
1,2,2,0.619382,10,3,378.5,0,2,20.31,6,703,554.93,229,-1
1,2,3,1.51786,144,8,37,1,2,4.34,1.67,705,556.85,358,1
1,2,2,0.909736,148,52,100,0,3,10.39,6.5,165,128.52,72,1
1,1,1,0,3,0,198,0,1,14.03,1,166,129.35,73,-1
1,1,1,0,22,3,615,0,2,12.12,5,167,130.33,22,-1
2,2,3,1.58158,40,1,47,0,1,2.84,0.67,168,131.31,113,-1
1,2,3,1.57946,113,0,0,0,0,0,0,710,558.29,233,-1
1,3,4,1.84832,117,2,254.75,0,3,4.24,8.5,169,131.78,40,-1
1,1,1,0,5,0,332,0,3,0,29,170,132.78,41,-1
1,5,6,2.41254,411,0,0,0,0,0,0,713,559.93,236,-1
